post_id,upload_date,content_id,likes,comments,shares,saves,reach,impressions,followers_gained,engagement_rate,traffic_source
IG0000001,2024-11-30 09:25:22.954916,1,31627,7559,4530,6393,615036,1007750,899,4.97,Home Feed
IG0000002,2025-08-15 09:25:22.954916,2,63206,3490,1680,6809,1237071,1345900,805,5.59,Hashtags
IG0000003,2025-09-11 09:25:22.954916,3,94373,3727,1761,8367,1127470,1305369,758,8.29,Reels Feed
IG0000004,2025-09-18 09:25:22.954916,4,172053,7222,2875,9290,764030,897874,402,21.32,External
IG0000005,2025-03-21 09:25:22.954916,5,99646,2703,4444,9746,7004,495406,155,23.52,Profile
IG0000006,2025-05-06 09:25:22.954916,6,10500,7337,3601,5163,311157,381943,904,6.96,Reels Feed
IG0000007,2025-09-21 09:25:22.954916,7,193906,6326,4384,5581,277864,690698,701,30.43,Explore
IG0000008,2025-01-06 09:25:22.954916,8,27317,3289,2352,11684,1185935,1592082,894,2.8,Profile
IG0000009,2025-10-13 09:25:22.954916,9,90827,6557,570,13750,906114,1110667,739,10.06,Reels Feed
IG0000010,2025-03-10 09:25:22.954916,10,67067,5988,3223,11741,1212435,1556489,611,5.65,Hashtags
IG0000011,2025-04-09 09:25:22.954916,11,177091,3529,1102,7257,624350,1095641,390,17.25,Home Feed
IG0000012,2025-05-03 09:25:22.954916,12,75759,2422,2970,7671,1350241,1559059,240,5.7,Hashtags
IG0000013,2025-08-23 09:25:22.954916,13,78492,4567,3686,1694,1223295,1279889,493,6.91,Explore
IG0000014,2025-04-13 09:25:22.954916,14,152517,2030,275,12616,837272,1274052,792,13.14,Reels Feed
IG0000015,2025-03-16 09:25:22.954916,15,29834,3242,1434,377,119869,377581,808,9.24,Home Feed
IG0000016,2024-12-06 09:25:22.954916,16,180946,4638,3852,2095,1713467,2211458,752,8.66,Hashtags
IG0000017,2025-07-11 09:25:22.954916,17,120368,9052,3429,12079,582403,653331,920,22.18,External
IG0000018,2025-01-08 09:25:22.954916,18,180326,9546,2854,11160,1031407,1181707,923,17.25,Home Feed
IG0000019,2025-06-20 09:25:22.954916,19,111231,6343,209,14970,61120,85737,892,154.84,External
IG0000020,2025-06-13 09:25:22.954916,20,53222,2548,3798,11000,650215,885482,216,7.97,External
IG0000021,2025-02-11 09:25:22.954916,21,139872,5166,1129,8812,1613651,1722166,87,9.0,External
IG0000022,2025-10-04 09:25:22.954916,22,179760,1745,4286,13818,57656,115755,742,172.44,Reels Feed
IG0000023,2025-02-26 09:25:22.954916,23,150007,1442,3388,12082,1570109,2036282,311,8.2,Home Feed
IG0000024,2025-03-20 09:25:22.954916,24,56044,5321,871,14241,389616,491014,64,15.58,Profile
IG0000025,2025-05-08 09:25:22.954916,25,141510,4389,2317,10188,1553546,1718024,394,9.22,Profile
IG0000026,2025-02-18 09:25:22.954916,26,77071,2115,2268,5573,7054,26092,243,333.54,Hashtags
IG0000027,2024-11-29 09:25:22.954916,27,198903,709,2532,7163,1610322,1655482,925,12.64,Reels Feed
IG0000028,2025-10-19 09:25:22.954916,28,6178,3937,4023,10970,49036,272711,559,9.21,Profile
IG0000029,2025-08-01 09:25:22.954916,29,83922,9759,4502,10573,450443,741582,382,14.67,Explore
IG0000030,2025-07-26 09:25:22.954916,30,139696,4348,1417,4470,1264626,1289700,286,11.63,External
IG0000031,2025-04-25 09:25:22.954916,31,99119,529,15,14117,1941850,2105234,419,5.4,Home Feed
IG0000032,2025-05-25 09:25:22.954916,32,182869,9458,3131,9914,1854517,1962959,114,10.46,Profile
IG0000033,2025-04-17 09:25:22.954916,33,166153,994,4272,3066,30495,138675,882,125.82,Home Feed
IG0000034,2025-09-02 09:25:22.954916,34,30655,6902,2969,12917,1649160,2046106,888,2.61,Explore
IG0000035,2025-07-14 09:25:22.954916,35,21308,4222,4339,13055,655786,756748,916,5.67,External
IG0000036,2025-02-02 09:25:22.954916,36,127939,6015,1725,4116,260626,749559,861,18.65,Explore
IG0000037,2024-12-01 09:25:22.954916,37,51285,7705,3797,2518,1209734,1563306,336,4.18,Reels Feed
IG0000038,2025-11-08 09:25:22.954916,38,59876,4565,461,7632,898792,1297148,311,5.59,Reels Feed
IG0000039,2025-04-11 09:25:22.954916,39,50998,4503,2231,10468,1478100,1705244,621,4.0,External
IG0000040,2025-07-10 09:25:22.954916,40,18737,6615,250,6172,1294970,1736215,907,1.83,Hashtags
IG0000041,2024-11-25 09:25:22.954916,41,78059,5416,419,8377,1316621,1752540,359,5.26,External
IG0000042,2025-01-24 09:25:22.954916,42,65342,1290,1139,3464,1161849,1639267,184,4.35,Explore
IG0000043,2025-10-21 09:25:22.954916,43,140896,1729,4453,2717,647882,1084676,872,13.81,Reels Feed
IG0000044,2025-06-09 09:25:22.954916,44,113836,226,1319,10216,1085399,1511909,409,8.31,Reels Feed
IG0000045,2025-06-28 09:25:22.954916,45,9849,8809,1503,14583,76465,366587,419,9.48,External
IG0000046,2025-07-29 09:25:22.954916,46,199799,10000,4736,1895,287485,653395,924,33.12,Profile
IG0000047,2025-05-17 09:25:22.954916,47,55951,271,4931,6761,791098,1024309,49,6.63,Hashtags
IG0000048,2024-12-08 09:25:22.954916,48,92643,1642,160,12118,312299,510800,335,20.86,Home Feed
IG0000049,2025-07-23 09:25:22.954916,49,71897,4958,48,9142,169872,370142,885,23.25,External
IG0000050,2025-04-15 09:25:22.954916,50,56382,9141,713,4160,1483982,1496684,370,4.7,External
IG0000051,2025-03-12 09:25:22.954916,51,121423,4768,3955,13871,1593846,1782426,426,8.08,Reels Feed
IG0000052,2025-10-15 09:25:22.954916,52,75538,2363,667,5729,1314525,1540196,870,5.47,Hashtags
IG0000053,2025-05-09 09:25:22.954916,53,94378,3201,3358,4704,735516,1001758,514,10.55,External
IG0000054,2025-04-22 09:25:22.954916,54,98569,2493,2853,14218,1265707,1526053,947,7.74,Profile
IG0000055,2025-02-19 09:25:22.954916,55,2188,7455,3571,9184,1482516,1654011,637,1.35,External
IG0000056,2025-07-23 09:25:22.954916,56,4739,502,2253,4011,221133,255290,576,4.51,External
IG0000057,2025-04-21 09:25:22.954916,57,60395,1113,1287,3334,1902423,1963003,621,3.37,Home Feed
IG0000058,2025-02-15 09:25:22.954916,58,71753,3088,2025,7848,1016814,1338686,669,6.33,Reels Feed
IG0000059,2025-02-11 09:25:22.954916,59,191385,1642,1593,7165,1943435,2166659,685,9.31,External
IG0000060,2025-10-14 09:25:22.954916,60,59042,8574,1978,11350,1073192,1226471,574,6.6,Explore
IG0000061,2024-12-20 09:25:22.954916,61,133031,2984,2589,9452,316800,804931,80,18.39,Hashtags
IG0000062,2025-08-23 09:25:22.954916,62,71357,1052,4246,1060,1238595,1391880,92,5.58,Reels Feed
IG0000063,2024-12-17 09:25:22.954916,63,93544,7310,2118,4111,1727309,1928338,718,5.55,Profile
IG0000064,2025-03-20 09:25:22.954916,64,171840,2616,1547,13246,885241,978718,493,19.34,Explore
IG0000065,2025-06-27 09:25:22.954916,65,143899,2074,1844,8733,1730179,1798718,360,8.7,Profile
IG0000066,2025-07-06 09:25:22.954916,66,159218,772,1580,11401,104738,323527,886,53.46,Hashtags
IG0000067,2025-07-04 09:25:22.954916,67,197177,9805,380,1748,933713,1259141,335,16.61,External
IG0000068,2025-04-22 09:25:22.954916,68,21996,273,641,8360,974583,1361013,524,2.3,Home Feed
IG0000069,2024-12-31 09:25:22.954916,69,155671,5884,3487,6485,1678552,1764448,816,9.72,Reels Feed
IG0000070,2025-06-17 09:25:22.954916,70,5576,8050,1575,2781,1888156,2040636,358,0.88,External
IG0000071,2025-02-08 09:25:22.954916,71,106477,3839,2184,13508,1140404,1404649,244,8.97,Reels Feed
IG0000072,2025-05-09 09:25:22.954916,72,113592,2949,4820,7470,156274,187173,555,68.83,Home Feed
IG0000073,2025-07-26 09:25:22.954916,73,104651,5249,810,8738,619213,1085157,228,11.01,External
IG0000074,2025-10-30 09:25:22.954916,74,83034,9183,526,4208,888730,1321805,741,7.33,External
IG0000075,2025-01-23 09:25:22.954916,75,85288,6649,1946,14209,1915192,2083888,215,5.19,Hashtags
IG0000076,2025-04-12 09:25:22.954916,76,107296,2538,3498,8725,179126,485861,145,25.12,Reels Feed
IG0000077,2025-06-29 09:25:22.954916,77,7473,3919,1702,12228,317075,606371,974,4.18,Profile
IG0000078,2024-12-14 09:25:22.954916,78,135256,1370,1716,355,815701,1060272,73,13.08,Reels Feed
IG0000079,2025-10-20 09:25:22.954916,79,117267,7780,1588,13859,1572598,1797500,730,7.82,Explore
IG0000080,2025-06-02 09:25:22.954916,80,65028,8681,2275,12134,1947239,2239263,550,3.94,Hashtags
IG0000081,2025-02-21 09:25:22.954916,81,141610,802,3811,14371,64268,443038,290,36.25,External
IG0000082,2025-04-11 09:25:22.954916,82,66834,2239,371,14022,1485851,1867513,52,4.47,Hashtags
IG0000083,2025-04-27 09:25:22.954916,83,102350,9235,3337,3119,1730370,2163241,632,5.46,External
IG0000084,2025-06-26 09:25:22.954916,84,18145,918,1334,14380,73681,101181,214,34.37,Profile
IG0000085,2025-01-03 09:25:22.954916,85,156766,7395,1090,1285,1464572,1684208,109,9.89,Reels Feed
IG0000086,2025-06-21 09:25:22.954916,86,123729,4381,3797,12094,1098291,1338284,615,10.76,Home Feed
IG0000087,2025-07-09 09:25:22.954916,87,154182,392,4983,4489,847762,1154033,858,14.22,External
IG0000088,2025-08-11 09:25:22.954916,88,95680,2329,4662,7884,1306688,1535537,265,7.2,Reels Feed
IG0000089,2025-04-12 09:25:22.954916,89,160663,4139,3793,1658,87556,406434,550,41.89,Explore
IG0000090,2025-03-06 09:25:22.954916,90,55683,5309,3403,9043,607197,618403,104,11.88,Profile
IG0000091,2025-06-02 09:25:22.954916,91,195724,8410,591,1447,471829,846725,852,24.35,Reels Feed
IG0000092,2025-06-16 09:25:22.954916,92,87305,6399,1543,1558,1621801,1625567,749,5.96,Profile
IG0000093,2025-08-03 09:25:22.954916,93,167420,1161,4152,7019,1006580,1220283,481,14.73,External
IG0000094,2025-08-30 09:25:22.954916,94,29728,5605,4181,8129,1016916,1401231,859,3.4,External
IG0000095,2025-09-10 09:25:22.954916,95,98620,9501,214,1719,1511037,1762107,576,6.25,Profile
IG0000096,2025-02-01 09:25:22.954916,96,21554,2059,1984,4730,1952764,1969648,682,1.54,Home Feed
IG0000097,2024-11-21 09:25:22.954916,97,161614,6644,2604,14819,30428,411145,534,45.16,External
IG0000098,2024-12-18 09:25:22.954916,98,184536,826,2215,7962,452418,582844,914,33.55,Hashtags
IG0000099,2025-01-31 09:25:22.954916,99,126446,2264,1694,1253,1273005,1333809,340,9.87,Hashtags
IG0000100,2024-11-21 09:25:22.954916,100,192838,9209,3916,4460,891372,1179545,335,17.84,External
IG0000101,2025-02-18 09:25:22.954916,101,181564,787,2880,8201,559188,742288,31,26.06,Home Feed
IG0000102,2025-06-16 09:25:22.954916,102,79103,6492,3257,12182,1233808,1600479,445,6.31,Home Feed
IG0000103,2024-12-19 09:25:22.954916,103,188854,886,2611,1718,393280,833126,105,23.29,Explore
IG0000104,2025-11-16 09:25:22.954916,104,27630,9481,2569,13511,482142,763035,905,6.97,Profile
IG0000105,2025-01-26 09:25:22.954916,105,191217,3398,4496,6445,1312951,1733118,934,11.86,Reels Feed
IG0000106,2025-03-11 09:25:22.954916,106,87108,4315,358,13138,1025653,1415280,205,7.41,Profile
IG0000107,2025-06-29 09:25:22.954916,107,56225,247,3854,12530,1546578,1988473,975,3.66,External
IG0000108,2025-06-02 09:25:22.954916,108,183586,8390,2031,7374,929139,1351603,442,14.9,Hashtags
IG0000109,2025-06-26 09:25:22.954916,109,156172,3538,727,11248,616730,832190,170,20.63,Home Feed
IG0000110,2025-03-28 09:25:22.954916,110,98038,1812,4909,8253,729344,806233,842,14.02,Home Feed
IG0000111,2025-04-07 09:25:22.954916,111,125095,48,1024,3457,1172580,1575062,724,8.23,External
IG0000112,2025-08-15 09:25:22.954916,112,131540,6006,4281,2057,497056,878382,109,16.38,Hashtags
IG0000113,2025-04-30 09:25:22.954916,113,20835,5179,2336,14405,1797356,1976451,41,2.16,Explore
IG0000114,2025-03-05 09:25:22.954916,114,172907,5971,4507,9979,659383,1003706,71,19.27,Explore
IG0000115,2025-05-12 09:25:22.954916,115,112677,9911,446,3268,732450,1116057,151,11.32,Explore
IG0000116,2025-02-05 09:25:22.954916,116,141901,3362,1679,13327,1979483,2274387,444,7.05,Reels Feed
IG0000117,2025-07-29 09:25:22.954916,117,188652,1878,1122,13462,26232,306665,964,66.89,External
IG0000118,2025-04-30 09:25:22.954916,118,125362,4667,4311,9556,913327,1007240,95,14.29,Reels Feed
IG0000119,2025-03-10 09:25:22.954916,119,198873,7025,713,1483,681346,1132193,495,18.38,External
IG0000120,2025-04-20 09:25:22.954916,120,105175,2900,1311,4059,492754,592063,881,19.16,Reels Feed
IG0000121,2025-06-24 09:25:22.954916,121,106243,5998,3962,9589,170468,170810,88,73.64,Reels Feed
IG0000122,2024-12-22 09:25:22.954916,122,8278,8409,3444,6566,3533,206205,291,12.95,Hashtags
IG0000123,2025-10-30 09:25:22.954916,123,155651,1008,2354,13922,1241485,1535684,196,11.26,Reels Feed
IG0000124,2025-10-10 09:25:22.954916,124,29119,3053,3059,4117,391124,678377,762,5.8,Reels Feed
IG0000125,2025-06-14 09:25:22.954916,125,92077,5213,560,2688,773023,857066,313,11.73,Reels Feed
IG0000126,2025-09-24 09:25:22.954916,126,164084,6443,579,4113,1305598,1792580,817,9.77,Explore
IG0000127,2025-06-07 09:25:22.954916,127,75323,314,2543,1038,397890,842626,755,9.4,Explore
IG0000128,2025-07-13 09:25:22.954916,128,77733,7827,4545,2868,1069988,1403140,594,6.63,Home Feed
IG0000129,2024-12-13 09:25:22.954916,129,107334,5737,2054,2492,958579,1212180,314,9.7,Reels Feed
IG0000130,2025-08-14 09:25:22.954916,130,66481,9669,4250,9776,179446,237877,622,37.91,Hashtags
IG0000131,2024-11-24 09:25:22.954916,131,106325,564,3324,4707,609657,857701,423,13.4,Profile
IG0000132,2025-10-02 09:25:22.954916,132,120220,8553,1481,14009,865197,963760,308,14.97,Home Feed
IG0000133,2025-09-29 09:25:22.954916,133,42971,4204,3072,14108,1781834,2032531,998,3.17,External
IG0000134,2025-04-29 09:25:22.954916,134,149861,8529,4536,8564,1130190,1434349,132,11.96,Explore
IG0000135,2025-02-04 09:25:22.954916,135,6544,6524,2842,10643,272538,532021,934,4.99,Reels Feed
IG0000136,2025-04-10 09:25:22.954916,136,159079,4144,3376,8275,1316167,1403833,980,12.46,Explore
IG0000137,2024-12-07 09:25:22.954916,137,30825,904,3935,3872,1760549,1956853,473,2.02,Profile
IG0000138,2025-06-11 09:25:22.954916,138,82728,3568,3728,9882,1606129,1845474,372,5.41,External
IG0000139,2025-08-31 09:25:22.954916,139,112420,3292,1416,167,1830574,1848880,189,6.34,Home Feed
IG0000140,2025-08-21 09:25:22.954916,140,184138,8493,4629,5929,1284686,1689532,337,12.03,Hashtags
IG0000141,2025-01-20 09:25:22.954916,141,79883,8961,927,12631,1471401,1769818,622,5.79,Hashtags
